#;name;cluster
0;CGV Vincom Center Ba Trieu;0
1;National Cinema Center;1
2;Rạp Tháng 8;0
3;CGV Mipec Tower;1
4;Ngoc Khanh Cinema;2
5;CGV Vincom Nguyễn Chí Thanh;2
6;Fafim Cinema;1
7;BHD Star Vincom Phạm Ngọc Thạch;1
8;Cine Cafe;1
9;CGV Artemis Hanoi;1
10;Lotte Cinema Keangnam;2
11;Cafe Film 3D Box;2
12;Platinum Cineplex Times City;0
13;VP CGV HÀ NỘI;0
14;CGV Vincom;0
15;CGV Vincom Mega Mall Royal City;1
16;Beta Cineplex Thanh Xuân;1
17;Cafe phim Hà Nội;1
18;Rạp Kim Đồng.;0
19;Cafe phim Chùa Láng;2
